title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Hi Tops,108.0,8,106,18,0,652,65,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-04-06,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1441250394/custom-embroidery-converse-shoes-flower
"Dripping Blue Custom Air Force 1 Sneakers with Butterflies. Low, Mid & High top ",Shoes,160.0,7,220,40,0,3219,49,"Custom Air Force 1,AF1,custom shoes,custom sneakers,air force 1 custom,Air Force 1,custom af1,cute shoes,painted shoes,air force 1 mid,blue air force 1,dripping air force 1,custom art shoes",United States,2022-12-01,yes,no,no,JoysClothing7,https://www.etsy.com/listing/1345684186/dripping-blue-custom-air-force-1
Chelsea Handmade Ankle Snow Boots Women ug Faux Sheepskin Fur Short Plush Warm Slippers Platform Shoes Suede Boots ,Shoes > Women&#x27;s Shoes > Slippers,49.56,7,202,45,0,395,17,"tasman slippers,slipper boots,mini slippers,winter slippers,mini boots,ultra mini,tasman,tazz,ugg tazz,Ug tasman,ultra mini chestnut,Ug ultra mini,Ug tazz",United States,2022-11-12,yes,no,no,shopfranki,https://www.etsy.com/listing/1345075675/chelsea-handmade-ankle-snow-boots-women
Tooled Leather Sandals ,Shoes > Women&#x27;s Shoes > Sandals,64.0,6,123,18,2,270,20,"tooled leather,womens sandals,leather sandals,womens shoes,leather shoes,western boutique",United States,2023-06-04,yes,no,no,TheRowdyRancherCo,https://www.etsy.com/listing/1495961325/tooled-leather-sandals
Babies and Toddlers Mexican Leather Huaraches embroidered ,Shoes > Girls&#x27; Shoes > Sandals,32.99,6,86,15,2,248,22,"toddler huaraches,baby shoes,baby huaraches",United States,2023-03-23,yes,no,no,PalomaMexicanArt,https://www.etsy.com/listing/1430526950/babies-and-toddlers-mexican-leather
"White Cowboy Western Boots, Embroidered Pull On Boots, Knee High Square Heel Western Boots, Riding Boots, PU Leather Cowgirl Boots ",Shoes > Women&#x27;s Shoes > Boots > Cowboy & Western Boots,110.0,6,121,11,2,495,37,"Riding Boots,PU Leather Boots,Square Heel Boots,Pull On Boots,White Western Boots,White Cowboy boots,white cowgirl boots,embroidery on boots,cowboy boots,cowgirl boots,knee high boots,thigh high boots,calf high boots",United States,2023-05-22,yes,no,no,TheBootVault,https://www.etsy.com/listing/1487605853/white-cowboy-western-boots-embroidered
Holiday Gifts for Women - Gift Ideas for Her Personalized Gifts for Women Custom Fluffy Slippers Birthday Gifts for Her ,Shoes > Women&#x27;s Shoes > Slippers,6.99,6,6318,1344,0,4844,19,"slippers for women,fluffy slippers,blush slippers,personalized,slippers,holiday gift,birthday gift,coworkers gift,gift for wife,gift for her,gift for mother,gift for grandmother,Mother's Day Gift",United States,2022-10-18,yes,no,no,LaceAndRufflesShop,https://www.etsy.com/listing/1313436666/holiday-gifts-for-women-gift-ideas-for
"Renaissance Medieval Viking Boots, Unique Gothic Renaissance Shoes, Steampunk Vintage Pirate Boots, Elf Medieval Shoes for Ren Faire Costume ",Shoes > Men&#x27;s Shoes > Boots,59.7,6,48,15,0,944,14,"Renaissance boots,Medieval boots,Viking boots,Unique shoes,Gothic shoes,Renaissance shoes,Vintage boots,Pirate boots,Elf shoes,Ren faire costume,Leather shoes,Mens shoes",United States,2022-10-24,yes,no,no,CraftsbyByMehru,https://www.etsy.com/listing/1317871348/renaissance-medieval-viking-boots-unique
"CARIATIS leather sandals, leather sandals women, handmade Greek sandals, strappy sandals, flat sandals, natural colour sandals, gift for her ",Shoes > Women&#x27;s Shoes > Sandals,70.87,6,101,18,0,449,17,"greek sandals gold,leather sandals,greek leather sandal,leather sandal women,strappy sandals,flat sandals,toe ring sandals,women sandals,gift for her,greek leather lab,handmade sandals,greece sandals,nude colour sandals",United States,2023-06-07,yes,no,no,GreekLeatherLab,https://www.etsy.com/listing/1498291407/cariatis-leather-sandals-leather-sandals
Mexican Huarache Sandals - Boho- Hippie - Vintage - Mexican - Leather - Shoes - Handmade - Gift for her - gift for mom grandma - Summer shoe ,Shoes > Women&#x27;s Shoes > Sandals > Huaraches,47.99,5,136,27,1,565,49,"bohemian,huaraches sandal,mexican style,colorful leather,mexican huaraches,sandals,leather sandal,handmade shoes,summer sandals,summer shoes,leather,grandma gifts",United States,2023-02-12,yes,no,no,FridaMiaCollection,https://www.etsy.com/listing/1415642281/mexican-huarache-sandals-boho-hippie
Buffalo Zebra Stripe - Crocks - Football - All-Over Print Men's Classic Clogs - (Est. 3 week delivery) - NOT Official ,Shoes,34.99,5,275,41,1,338,11,"Buffalo,Bills,Josh,Allen,BillsMafia,Shorts,shoes,slip ons,crocs,Diggs,zubaz,hamlin",United States,2022-09-23,yes,no,no,BCAMerchandise,https://www.etsy.com/listing/1310772987/buffalo-zebra-stripe-crocks-football-all
Spongebob Snail Slippers ,Shoes,15.0,5,234,38,0,902,91,"Gary,Spongebob,Cartoon,Funny,Cute,Snail,Animal,Women,Warm,Men,Halloween",United States,2023-06-04,yes,no,no,FantasticalSlippers,https://www.etsy.com/listing/1481999030/spongebob-snail-slippers
Custom Crocs ,Shoes > Women&#x27;s Shoes > Clogs & Mules,185.0,5,69,13,0,530,45,"Custom Crocs,bling crocs,Designer Crocs,Rhinestone Crocs,Croc Bling,Crocs,Crocs with Bling,Crocs Designed,Designed Crocs,Jean Crocs,crocs for women,designer croc",United States,2023-04-21,yes,no,no,SofaHenDesign,https://www.etsy.com/listing/1451493182/custom-crocs
"Fluffy Slippers Customized, Bridesmaid Gifts, Personalized Slippers, Christmas Gifts, Wedding Fluffy Slippers, Bridal gift birthdays gifts ",Shoes > Women&#x27;s Shoes > Slippers,6.99,5,1603,328,3,1917,9,"bridesmaid slippers,bachelorette party,bridesmaid gifts,slippers for women,fluffy slippers,gift for bridesmaid,bridal slippers,bachelorette weekend,bridal shower gift,gift for bridesmaids,gift for mom,gift for her,Mother's Day gift",United States,2022-09-20,yes,no,no,LaceAndRufflesShop,https://www.etsy.com/listing/1294878942/fluffy-slippers-customized-bridesmaid
Sustainable Leather Oxford Shoes for Women | Black & Brown Lace-Up Oxford Shoes With Heel and Round Toe | Oxford Shoes For Work ,Shoes > Women&#x27;s Shoes > Oxfords & Tie Shoes,91.5,5,128,13,1,440,25,"Stylish heel oxfords,women oxfords,women lace up shoes,oxfords heels shoes,women handmade shoes,classic oxfords,casual oxford,versatile oxford,round toe oxfords,luxury oxfords women,trendy women oxfords,chin women's leather,custom fit oxfords",United States,2023-03-21,yes,no,no,LeatherDome,https://www.etsy.com/listing/1443357781/sustainable-leather-oxford-shoes-for
"Suede Leather mules for women, beige loafers, suede slippers, Greek moccasins, slip on flats, pointy mules, women flat shoes, low heel flats ",Shoes > Women&#x27;s Shoes > Clogs & Mules,79.73,5,84,11,0,511,21,"cognac low heel,mules for women,leather slippers,beige mules,suede leather,pointy loafers,leather moccasins,Women Moccasins,Women Driving Shoes,Slip On Loafers,women slip on shoes,women's shoes,greek shoes",United States,2022-11-22,yes,no,no,madammeshushu,https://www.etsy.com/listing/1352694457/suede-leather-mules-for-women-beige
Soft and Cozy Lounge Strawberry Slippers ,Shoes > Women&#x27;s Shoes > Slippers,15.99,5,322,46,2,1475,28,"Lounge,Lounge Slippers,Cozy Slippers,Gifts for Her,Gift Idea,Slipper,Smiley Face Slippers,Unique Gift,Y2K,Strawberry Slippers,Strawberry",United States,2023-04-08,yes,no,no,ZeePerfectGift,https://www.etsy.com/listing/1442399234/soft-and-cozy-lounge-strawberry-slippers
Rick Jumbo Laced Leather Sneakers ,Shoes,175.0,4,128,27,2,466,9,"owens,rick,sneaker,streetwear,women,men",United States,2023-03-12,yes,no,no,UnworldlyCouture,https://www.etsy.com/listing/1422650884/rick-jumbo-laced-leather-sneakers
"Ivory Luxury Baby Shoes, Pink Flower Girl Shoes, Girls Baptism Shoes, Fancy Baby Girl Shoes, Butterfly Baby Girl Shoes, Baby Princess Shoes ",Shoes > Girls&#x27; Shoes > Booties & Crib Shoes,36.99,4,253,31,3,380,20,"flower girl shoes,girls birthday shoes,girl baptism shoes,Baby Princess shoes,ivory baby shoes,baby wedding shoes,shoes for girls,fancy baby shoes,girls party shoes,girls pink shoes,Baby glitter shoes,sparkly shoes,bling baby shoes",United States,2023-02-20,yes,no,no,HNFBabyShoes,https://www.etsy.com/listing/1407511664/ivory-luxury-baby-shoes-pink-flower-girl
Nick & Charlie Leaves Embroidery Classic High Top Converse Chuck Taylor 1970s  Heartstopper Bookish Inspired Personalized Gifts For Her ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Tie Sneakers,97.49,4,135,15,0,692,25,"heartstopper,heartstopper merch,heartstoppers,Charlie Spring,alice oseman,nick and charlie,Nick Nelson,heartstopper art,Heartstopper gift,heartstopper shirt,heartstopper quote,Personalized Gifts,Embroidery Converse",United States,2023-03-25,yes,no,no,Ibrawakhayt,https://www.etsy.com/listing/1432651242/nick-charlie-leaves-embroidery-classic
Myra Sandals Hand Tooled Floral Tan Leather Woman Footo -Brass Buckles Cork Sole Flats - Most Sizes Available ,Shoes > Women&#x27;s Shoes > Sandals > Slingbacks & Slides,66.5,3,215,33,0,264,17,"myra sandals,leather sandals,hand tooled leather,Strappy flats,myra flats,Footo Sandals",United States,2023-03-06,yes,no,no,MsConniesAntiques,https://www.etsy.com/listing/1432070325/myra-sandals-hand-tooled-floral-tan
"Wedding Bridal Sneaker Personalized, Air Force 1 wedding sneaker, wedding shoe for the BRIDE, Bride Sneakers, WEDDING SHOE. ",Weddings > Shoes > Women's Wedding Shoes,169.0,3,104,16,4,241,7,"wedding shoes,bride sneakers,bride sneaker,shoes for bride,wedding sneaker,bride shoe,bridal shoe,bride gift,bride air force 1,wedding air force,custom bride shoe,bride air foce",United States,2023-04-21,yes,no,no,allsnkrshop,https://www.etsy.com/listing/1466259725/wedding-bridal-sneaker-personalized-air
Cat Lover Shoe Charms | Cute Animal Cats Shoe Charms ,Shoes,2.0,3,213,17,3,143,8,"Cats,Cat Lover,Dog lover,Crocs Charms,Charms,Crocs,Jibbitz,Shoe Charms,Popular Crocs",United States,2023-03-23,yes,no,no,MiasCharmz,https://www.etsy.com/listing/1445022013/cat-lover-shoe-charms-cute-animal-cats
Cowboy Boots Cowgirl Boots Kids Cowboy Boots Toddler Cowboy Boots Pink Cowboy Boots Glitter Cowboy Boots Western Boots Girls Boot ,Shoes > Girls&#x27; Shoes > Boots,53.99,3,82,10,0,185,12,"pink sparkly boots,pink cowboy boots,kids western boots,baby boots,toddler boots,toddler cowboy boots,baby cowboy boots,western fashion,glitter cowboy boots,Kids Cowboy Boots,Western Boots,Cowgirl Boots,Cowboy Boots",United States,2023-04-15,yes,no,no,BabyMoccsCo,https://www.etsy.com/listing/1447625174/cowboy-boots-cowgirl-boots-kids-cowboy
Georgia Bulldogs LED Light Up Shoes ,Shoes,43.45,3,205,33,2,145,7,"Light Up Shoes,Georgia Bulldogs,UGA",United States,2022-12-03,yes,no,no,Lumn8ion,https://www.etsy.com/listing/1347243646/georgia-bulldogs-led-light-up-shoes
Wedding Shoes for the BRIDE - Bridal Sneakers Personalized - Air Force 1 wedding sneaker - Rhinestone Crystals & white pearl mix ,Weddings > Shoes > Women's Wedding Shoes,151.3,3,76,6,1,559,106,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-06-13,yes,no,no,SoleCraftStudio,https://www.etsy.com/listing/1502122059/wedding-shoes-for-the-bride-bridal
"MRS Bride Rhinestone Slippers, Bride Gift, Wedding Shower Gift, Honeymoon Eloping Gift, Future Bride Slippers, Bridal Bridesmaids Slippers ",Shoes > Women&#x27;s Shoes > Slippers,0.99,3,353,51,7,126,4,"Bridal Shower Gift,Fluffy Slippers,Wedding favors,Wedding Gift,Bridesmaid Proposal,Party Favor,Mrs Slippers,Honeymoon Gift,Bridal slippers,Bride slippers,Bridesmaid Slippers,Slippers Women,Bride Pearl Slippers",United States,2023-03-08,yes,no,no,BubblyRoseDesign,https://www.etsy.com/listing/1433360189/mrs-bride-rhinestone-slippers-bride-gift
CUSTOMIZABLE - Custom Leather Boot Harness Set ,Shoes,39.0,2,172,33,0,355,11,"cowgirl,ankle harness,boot harness,western fashion,western jewelry,leather accessories,boot harnesses,cowgirl boots,Yallternative,black leather,custom boot strap",United States,2023-01-09,yes,no,no,HellboundLeatherGood,https://www.etsy.com/listing/1389058801/customizable-custom-leather-boot-harness
"Spanish pregnancy announcement booties, Spanish baby announcement box, grandparents pregnancy reveal bootie box,  pregnancy booty box ",Shoes,23.2,2,138,15,2,195,9,"pregnancy reveal,pregnancy reveal box,handmade gift box,Baby shoes,Crochet baby booties,Crochet gift,White baby booties,Green baby booties,Yellow baby booties,Cream baby booties,spanish pregnancy,bootie reveal set,Gray newborn booties",United States,2023-02-21,yes,no,no,NorthwoodsCabinBaby,https://www.etsy.com/listing/1408342412/spanish-pregnancy-announcement-booties
Popular Anime Shoe Charms | 2022 Anime | Shounen Jump ,Shoes,1.0,2,229,24,3,93,8,"Shoes,Unisex Adult Shoes,Clogs,anime shoe charms,manga inspired charm",United States,2022-10-20,yes,no,no,OGToonsMarket,https://www.etsy.com/listing/1328712615/popular-anime-shoe-charms-2022-anime
"Croc compatible pink smiley face shoe charms, mama shoe charms, shoe decor for your crocs, popular shoe charms, clog compatible charms ",Shoes > Women&#x27;s Shoes > Clogs & Mules,3.0,2,695,137,0,1194,12,"croc charms,croc compatible,shoe charms,shoe decor,jibbitz,crocs,croc lover,croc jibbitz,jibbitz for crocs,custom jibbitz,crocs jibbitz,charms for crocs,crocs jibbit charms",United States,2023-01-21,yes,no,no,AMRISandBREN,https://www.etsy.com/listing/1398884219/croc-compatible-pink-smiley-face-shoe
"Four Leaf Clover Linen Slippers, Yellow Cotton Linen Slippers, Japanese Women Comfy Slippers, Indoor House Slippers, Gift For Friends Family ",Shoes,14.34,2,135,9,1,128,11,"linen slippers,cotton linen slipper,summer slippers,cozy linen slippers,women slipper slide,japanese slippers,comfy guest shoes,handmade linen slide,indoor cotton shoes,soft linen shoes,japan unisex slipper,gift for her him,linen slipper slides",United States,2023-05-24,yes,no,no,KolpCo,https://www.etsy.com/listing/1474556344/four-leaf-clover-linen-slippers-yellow
Beer inspired Custom Hey Dudes ,Shoes > Men&#x27;s Shoes > Loafers & Slip Ons,125.0,2,333,71,0,439,9,"canvas shoes,dudes,busch light apple,hey dude,custom shoes,busch light,busch hey dude",United States,2022-11-30,yes,no,no,SparkleUpDesigns,https://www.etsy.com/listing/1344678814/beer-inspired-custom-hey-dudes
