title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Gifts, Mothers Day, Embroidery, Bridesmaid Gifts, Graduation, Gifts for Mom, Personalized Gifts, Pool Bag, Beach Bag, Graduation Gift ",18.8,86,498,79,5,742,30,"bridesmaid gift,Bridal Tote Bags,gift for her,embroidered tote bag,ironic boat tote,Gifts,Mothers Day,Embroidery,Bridesmaid Gifts,Graduation,Gifts for Mom,Personalized Gifts,Pool Bag",United States,2023-05-03,yes,no,no,ShopatBash,https://www.etsy.com/listing/1474001365/gifts-mothers-day-embroidery-bridesmaid
"Personalized Leather Dopp Kit, Groomsmen Gift For Him, Anniversary Gifts For Men, Leather Toiletry Bag Birthday Gift For Dad Wedding Gift ",14.0,65,2616,604,15,1412,1,"Groomsmen Gift,Gift for Him,Gift For Dad,Birthday Gift,Leather Toiletry Bag,Gifts For Men,Anniversary Gift,Leather Dopp Kit,fathers day gift,wedding gifts,personalized gifts,gifts for husband,gifts for groomsmen",United States,2023-05-10,yes,no,no,PeraLeatherBag,https://www.etsy.com/listing/1464846342/personalized-leather-dopp-kit-groomsmen
"Leather Dopp Bag,Personalized Mens Toiletry Bag,Vegan Monogram Wash Bag With Name,Custom Shaving Kit,Wedding Travel Gift For Men,Husband,Him ",15.23,65,182,13,4,266,63,"dopp kit,Leather Toiletry Bag,Shaving Kit,leather dopp kit,travel gift,leather wash bag,For Him,Wedding travel gift,Shaving Bag,Gift for dad,wedding gift,Monogram Wash Bag,Engraved travel gift",United States,2023-07-12,yes,no,no,EpicOutdoor,https://www.etsy.com/listing/1507525202/leather-dopp-bagpersonalized-mens
"Personalized Kids Nylon Backpack, Chenille Letters, Customize, Back to School, 15” Elementary School Sized Backpack ",45.0,47,247,71,12,310,0,"bag,purse,personalized,varsity,patches,chenille letters,custom,pink,stoney clover,kids,back to school,book bag",United States,2023-06-20,yes,no,no,LullabiesLollipops,https://www.etsy.com/listing/1492853018/personalized-kids-nylon-backpack
"Stadium Bag, Clear Stadium Bag, Clear Concert Purse, Clear Bag with Strap, Varsity Letter Patches, Adhesive Patches ",17.98,40,126,21,2,128,5,"bridesmaid gift,personalized,makeup bag,bridal party gift,varsity letter patch,Bridesmaid Proposal,Gift,Do It Yourself,patches,Summer Gift,Game Day Bag,Game Day Purse,Nylon Pouch with",United States,2023-06-24,yes,no,no,ShopatBash,https://www.etsy.com/listing/1510222025/stadium-bag-clear-stadium-bag-clear
"Personalized Teacher Bag, Boho Rainbow Teacher Bag, Custom Teacher Bag, Back to School Gift, Teacher Appreciation Gift, Teacher Gifts ",5.98,36,2155,479,7,975,13,"Teacher Tote Bag,Custom Teacher Gifts,Custom Teacher Name,Personalised Teacher,Back to School Gifts,Gift for Teacher,Teacher Gifts,End of Term Gift,Teacher Bag,Chaos Coordinator,Emotional Gift,Boho Rainbow Bag,Teacher Present",United States,2023-04-28,yes,no,no,TrendyCraftTX,https://www.etsy.com/listing/1471121901/personalized-teacher-bag-boho-rainbow
"Passport cover, Personalized leather passport holder, Birth Month flower Personalized wallet passport for women, Monogram passport ",5.0,33,414,108,2,784,28,"passport cover,travel gift,personalized,passport case,passport holder,passport wallet,custom passport,leather passport,monogram passport,passport gift,luggage tag,passport personalize,women passport cover",United States,2023-03-30,yes,no,no,Valentineforyou,https://www.etsy.com/listing/1450687547/passport-cover-personalized-leather
Custom Fanny Packs | Park Fanny Pack | Travel Bag | Patch Bag | Crossbody Bag | Belt Bag with Patches | Park Bag ,22.0,32,877,177,5,2087,64,"Stoney clover Fanny,custom Fanny pack,crossbody bag,bag around waist,shoulder bag,nylon fanny packs,belt bag,travel bag,nylon patch bag,bag with patches,fanny pack,fanny pack with name",United States,2023-03-27,yes,no,no,PinkJoyCo,https://www.etsy.com/listing/1448424755/custom-fanny-packs-park-fanny-pack
NEW!! LARGE Fanny Packs | Park Fanny Pack | Travel Bag | Patch Bag | Magical Bag | Vacation Bag | Belt Bag with Patches | Mouse Bag ,26.0,27,283,75,3,860,49,"belt bag,fanny packs,nylon patch bag,stoney clover,bag with patches,fanny pack,fanny pack with name,large fanny pack,jumbo fanny pack",United States,2023-05-19,yes,no,no,PinkJoyCo,https://www.etsy.com/listing/1485326555/new-large-fanny-packs-park-fanny-pack
"Personalized Monogrammed Backpacks, Custom Embroidery School Bags, Kids Backpack with Name, School Bag for Children, Students Book Bag ",19.98,20,90,22,1,213,14,"monogram backpack,Personalize Backpack,Embroidery SchoolBag,Custom Backpack,back to school,backpack boy,backpack girl,backpack for school,kids backpack,book bag for student,kids school bag,Custom  School Bags,Backpack for child",United States,2023-06-20,yes,no,no,MTWORLDUS,https://www.etsy.com/listing/1507421261/personalized-monogrammed-backpacks
zipper pouch | bug pencil bag | pencil pouch | cicada gift | cicada zipper pouch | insect zipper pouch | bug zipper pouch ,23.0,20,264,43,7,1125,180,"bug bag,insect bag,cicada bag,cicada gift,insect gift,insect pencil pouch,nature zipper pouch,insect zipper pouch,bug zipper pouch,cicada pouch,cicada zipper pouch,cicada pencil bag,bug pencil bag",United States,2023-04-12,yes,no,no,ilikesara,https://www.etsy.com/listing/1445231546/zipper-pouch-bug-pencil-bag-pencil-pouch
COWHIDE WRISTLET WALLET | Genuine hair on Cowhide Credit Card Holder Change Coin Pouch cash| gift idea | Gifts For Her Him ,24.0,17,105,26,2,338,21,"western,SOUTHWESTERN,leather,cowhide,credit card,cash,credit card wallet,coin purse,Wallet,cowhide wallet,cowhide keychain,wallet coin pouch,keychain wallet",United States,2023-04-19,yes,no,no,bohoranchboutique,https://www.etsy.com/listing/1464463103/cowhide-wristlet-wallet-genuine-hair-on
"40oz tumbler Fanny pack, tumbler pouch, customized pouch, bachelorette gifts, bridesmaid gifts, custom tumbler pouch, Tumbler Backpack ",15.0,13,241,65,7,1604,122,"stanley accessories,tumbler pouch,stanley cup,stanley pouch,stanley cup pouch,stanley fanny pack,water bottle pouch,stanley name plate,tumbler fanny pack,40oz tumbler,Tumbler accessories,custom tumbler pouch,water bottle fanny,tumbler with handle,bachelorette gift,bridesmaid gift,gift for her,gift for him,Custom fanny pack,custom tumbler",United States,2023-06-23,yes,no,no,Glamorosa,https://www.etsy.com/listing/1509130977/40oz-tumbler-fanny-pack-tumbler-pouch
"Delphi PJO Tote Bag, Delphi Strawberry Farms Tote Bag, Delphi Strawberry Service, Cottage Core Tote Bag, Blood Chronicles, The Olympians ",18.98,13,211,31,2,1055,44,"Camp Half Blood,greek god,bookish tote bag,cute tote bag,heroes of olympus,delphi sweatshirt,cottage core gifts,long island sound,chb,percy jackson shirts,bookish gift,percy jackson lover,percy jackson fan",United States,2023-04-28,yes,no,no,TheDreamersClub777,https://www.etsy.com/listing/1456323772/delphi-pjo-tote-bag-delphi-strawberry
Personalized Lime Green Backpack in Seersucker with Design Optional ,21.99,12,50,9,0,60,3,"toddler backpack,seersucker backpack,diaper bag,monogrammed,flower girl,christmas gift,birthday gift,dance bag,roses design,engraved bag,first birthday,children's backpack,lime seersucker",United States,2023-06-23,yes,no,no,kutekiddo,https://www.etsy.com/listing/1508994911/personalized-lime-green-backpack-in
Personalized Lunch Bags for Kids | Insulated Lunch Bag | Seersucker Lunch Bag | Monogrammed Kids Lunch Bag | Lunch Box | Lunch Bag for Women ,22.99,10,205,40,3,108,1,"Baby Gifts,Baby Shower Gifts,Kids Gifts,Gifts for Kids,Personalized Gifts,Lunch Bag,Lunch Bag for Kids,Insulated Lunch Bag,Lunch Bag for Women,Seersucker Lunch Bag,Lunch Box,Monogram Lunch Bag,Kids Lunch Bag",United States,2023-06-07,yes,no,no,PinkEverAfter,https://www.etsy.com/listing/1483831020/personalized-lunch-bags-for-kids
Georgia Cowhide Bag by Countryside Co. ,99.95,10,125,19,0,504,59,"western,purse,tooled leather,cowhide,myra,handbag,countryside co,fringe,mothers day,birthday,american darling,haute southern",United States,2023-04-20,yes,no,no,CountrysideTexas,https://www.etsy.com/listing/1465036597/georgia-cowhide-bag-by-countryside-co
Strawberry Tote Bag Cute Tote Bag Strawberry Bag Plant Tote Aesthetic Bag Market Bag Tote Bag Pattern Canvas Bag Shoulder Bag Shopping Bag ,15.99,9,500,22,2,3131,103,"tote bag,Mom Bag,Beach Bag,New Mom Gift,Canvas Tote Bag,Gift for Mom,Shopping Grocery Bag,Mama Tote Bag,Library Tote Bag,Books Tote Bag,Book Lovers Gifts,Reader Tote Bag,Custom Bookish Bag",United States,2023-04-22,yes,no,no,Primebabyblanket,https://www.etsy.com/listing/1452333132/strawberry-tote-bag-cute-tote-bag
"Quilted Large Make Up Bag / Quilted Floral Large Pouch / Cosmetics Bag, Floral White, Pink, Green, Blue and Yellow Quilted Make Up Bag ",32.0,9,193,27,0,655,29,"liberty london,preppy makeup bag,quilted makeup bag,large makeup bag,cosmetics bag,quilted floral bag,friend gift,mom gift,birthday gift,floral makeup bag,graduation gift,large quilted pouch,girlfriend gift",United States,2023-05-27,yes,no,no,ClementineStickerCo,https://www.etsy.com/listing/1490824595/quilted-large-make-up-bag-quilted-floral
"Original Homemade  Classic Multi-Pocket Polyester Bag, College Students Simple School Bag, Hand-Carrying Shoulder Messenger Bag,Daily Bag ",33.38,9,149,16,2,518,39,"Bag,tote bag,totes,daily bag,school bag,canvas bag,mommy bag,shopping bag,bags,Commute bag",United States,2023-05-18,yes,no,no,SweetwindShop,https://www.etsy.com/listing/1470499490/original-homemade-classic-multi-pocket
The Sailor | Zippered Crossbody Bag - Pick Your Strap 54 Styles ,32.49,8,105,10,2,188,33,"guitar strap for bag,bag strap,purse strap,courier,strap,leather,guitar strap,women,purse,crossbody,bag,tote,gift",United States,2023-05-26,yes,no,no,BabsandBirdieCo,https://www.etsy.com/listing/1490117525/the-sailor-zippered-crossbody-bag-pick
"EARS Bag, Magical EARS Bag, XL Nylon Bags, Summer Travel Bags, Nylon Pouch Bags Chenille Patches, Magical Bags Collection, Vacation Bag ",40.0,8,169,35,1,529,21,"magical collection,ears holder,mouse ears,mouse headband,ears bag",United States,2023-04-10,yes,no,no,HoneyBoutiqueAL,https://www.etsy.com/listing/1458135345/ears-bag-magical-ears-bag-xl-nylon-bags
Beaded purse strap | beaded Game day bag strap| Beaded gameday straps | Vols | Tennessee vols| Vols bag strap| Go vols beaded game day strap ,42.72,7,187,18,1,296,31,"Beaded straps,Beaded gameday strap,Vols beaded straps,Tennessee vols,Crossbody bag straps,Customized bag strap,Go vols,Gift for,College bag straps,Name bag straps,beaded vols straps,beaded shoulder stra",United States,2023-05-02,yes,no,no,BeadedAllAround,https://www.etsy.com/listing/1473289611/beaded-purse-strap-beaded-game-day-bag
Taylor Swift Beaded Straps ,60.0,7,313,67,2,762,10,"swiftie,beaded strap,fearless,lover,1989,karma is a cat,t swift,it's me hi",United States,2023-05-12,yes,no,no,KenzKustomz,https://www.etsy.com/listing/1466069774/taylor-swift-beaded-straps
"Cowhide Key Chain Wallet, Color Block Cowhide, Branded Cowhide, Genuine Hair on Cowhide, Genuine Leather,Leather Key Tag, Personalized Gifts ",27.0,7,52,19,1,177,22,"Cowhide,Genuine Leather,cowhide coin purse,cowhide key chain,leather keychain,cowhide keychain,keychain wallet,western keychain,western wallet,credit card holder,branded wallet,personalized gift,personalized wallet",United States,2023-04-20,yes,no,no,BarbedWireBiscuit,https://www.etsy.com/listing/1465003895/cowhide-key-chain-wallet-color-block
"Starry Forest Cute Card Holder Wallet Women with Keychains and wristlets, kawaii small mini slim card holder for travel pass ID badge girls ",24.0,6,73,24,1,447,25,"cute wallet,card holder wallet,cute card holder,cute card wallet,card holder women,kawaii card holder,id card holder,leather card holder,slim card holder,small card holder,mini card holder,kawaii card wallet,kawaii wallet",United States,2023-05-11,yes,no,no,StarryForestDesign,https://www.etsy.com/listing/1479426113/starry-forest-cute-card-holder-wallet
"Personalized Duffle Bag, Weekender Bags with Name, Embroidered Duffle Bag, GYM Travel Bag for Women, Bridesmaid Gift, Graduation Gift ",19.98,6,87,11,1,248,18,"custom travel bag,personalized bag,monogram travel bag,weekender bag,custom weekender bag,custom duffle bag,monogram duffle bag,waterproof bag,bridesmaid Gifts,gift for women,gym bag,duffel bags,weeding gifts",United States,2023-05-19,yes,no,no,MTKIDS,https://www.etsy.com/listing/1471313846/personalized-duffle-bag-weekender-bags
Personalized Cotton Canvas Beach Tote Bag Monogram Tote Bag Initial Canvas Tote Bridesmaid Gift Tote Custom Beach Bag Gift for Her A-Z ,20.95,6,597,115,5,242,2,"Personalized Tote,Initial Tote Bag,Monogrammed Tote,Letter Tote Bag,Initial Tote,Bridesmaid Gift,Gift for Women,Personalized Gift,Canvas Tote,Custom Tote,Large Tote Bag,embroidered tote bag,Alphabet Tote",United States,2023-04-25,yes,no,no,VincenzaSilviaCream,https://www.etsy.com/listing/1468567507/personalized-cotton-canvas-beach-tote
Clear Purse (ALL COLORS!) Vegan Trim & Strap . Stadium Approved . Gameday . Football . Graduation . Arena . Crossbody . College ,30.0,6,294,43,5,316,14,"gameday,stadium,university,clear,stadium approved,clear purse,crossbody,concert,LarueKay,graduation,roll tide,bama",United States,2023-04-13,yes,no,no,StadiumSpiritCo,https://www.etsy.com/listing/1459891491/clear-purse-all-colors-vegan-trim-strap
"Premium Luggage name Tags personalized, customized Name tags for luggage, Backpack name Tag Personalized ID Tags, Custom Luggage name Tag ",2.99,6,1017,146,7,267,7,"name tag,luggage name tag,backpack name tag,customized name tag,personalized tag,travel name tag,acrylic name tag,travel luggage tag,Personalized ID Tags,bag name tag,suitcase name tags,keychain name tag,camera bag name tag",United States,2023-03-19,yes,no,no,BelovedLives,https://www.etsy.com/listing/1442159525/premium-luggage-name-tags-personalized
Flower Dude Personalized Fanny Packs /Flower Man Waist bag/The Flower Guy Fanny Pack/ Flower Boy fannies/fully customizable/personalized ! ,10.0,6,400,73,8,177,12,"personalized fanny,custom fanny pack,fanny pack,bachelorette party,flower dude,flower guy,flower man,flower dude proposal,be my flower dude,Petal Patrol,mens fanny pack,Petal Pusher fanny,Flower Bro fanny",United States,2023-04-06,yes,no,no,ScalaCo,https://www.etsy.com/listing/1455727159/flower-dude-personalized-fanny-packs
"Monogrammed Diaper Bag Backpack, Expandable Baby Bed, Multi Functional Diaper Bag Backpack, Baby Diaper Bag Backpack with Changing Station ",44.99,5,208,28,4,220,15,"diaper bag,diaper bag backpack,baby bag,diaper bag boy,diaper bags,diaper bag girl,custom diaper bag,baby diaper bag,monogram diaper bag,DIAPERBAG,DIAPER BAG FOR GIRL,DIAPER BAG FOR BOY,NAME DIAPER BAG,MULTI FUNCTIONAL BAG,Expandable diaperbag,BABY BED DIAPER BAG,CRIB DIAPER BAG,CHANGING STATION",United States,2023-05-29,yes,no,no,MonogramaniaCom,https://www.etsy.com/listing/1478137576/monogrammed-diaper-bag-backpack
"Leather crossbody bag, shoulder bags for women, leather bag women, belly bags for women, gift for her, fanny packs women, hand bag, hip bag ",27.0,5,309,43,1,292,11,"crossbody bags women,sling bag for women,belt bag for women,gift for her,women bag leather,fanny packs women,crossbody purses,purses for women,waist bag,hand bags and purses,shoulder bags women,crossbody bag,fanny bags women",United States,2023-03-22,yes,no,no,CamoLeatherStore,https://www.etsy.com/listing/1430325650/leather-crossbody-bag-shoulder-bags-for
Ehpowt Luggage Tag - Buckle & Information Slit ,16.0,5,1207,325,4,2585,1,"luggage tag,bingo,bag tag,Bluey,travel,bingo Heeler,airport,ehpowt,Australian,family,children,kids,tag",United States,2023-04-10,yes,no,no,SoupAndPie,https://www.etsy.com/listing/1443997712/ehpowt-luggage-tag-buckle-information
"Personalized Slim Wallet, Anniversary Gift, Personalized RFID Wallet, Minimalist Leather Card holder ",12.72,5,284,64,7,136,15,"mens wallet,minimalist wallet,personalized gift,personalized wallet,slim wallet,small wallet,Groomsman Gift,boyfriend gift,engraved wallet,Anniversary Gift,custom wallet,gift for him,leather walllet",United States,2023-05-30,yes,no,no,NileLeatherUSA,https://www.etsy.com/listing/1478798600/personalized-slim-wallet-anniversary
NEW!! LARGE Fanny Packs | Park Fanny Pack | Travel Bag | Patch Bag | Disney Bag | Vacation Bag | Belt Bag with Patches | Park Bag ,26.0,5,205,48,0,341,12,"belt bag,fanny packs,nylon patch bag,stoney clover,bag with patches,fanny pack,fanny pack with name,large fanny pack,jumbo fanny pack",United States,2023-04-22,yes,no,no,PinkJoyCo,https://www.etsy.com/listing/1466405223/new-large-fanny-packs-park-fanny-pack
"1 1/2” Wide Adjustable Crossbody Strap, guitar strap purse, canvas purse strap, detachable bag strap, handbag strap, hippie bag strap ",21.0,5,176,25,4,297,17,"embroidered strap,shoulder strap,hippie bag,detachable bag strap,guitar strap purse,handbag strap,festival bag,replacement strap,crossbody strap,bag strap,canvas purse strap,purse strap,brass hardware strap",United States,2023-04-30,yes,no,no,TreasuredFindingsCo,https://www.etsy.com/listing/1458206244/1-12-wide-adjustable-crossbody-strap
Minimalist Linen Makeup Bag. Sustainable Linen Makeup Pouch in natural linen color. ,14.58,5,103,11,0,221,17,"Linen makeup bag,Cosmetic bag,Sustainable beauty,Travel accessories,Makeup organizer,Linen pouch,Handmade,Minimalist,makeup storage,makeup organization,linen cosmetic bag,linen travel pouch,natural makeup bag",United States,2023-04-13,yes,no,no,solinen,https://www.etsy.com/listing/1446357792/minimalist-linen-makeup-bag-sustainable
SLP Gifts Speech Therapist Thank You Gift Speech Therapy Gift For Her Speech Pathologist Graduation Gift Pencil Bag Cosmetic Bag ,12.0,5,226,41,2,244,16,"SLP Gifts,Speech Therapist,thank you gift,Speech Therapy Gift,gift for her,Speech Pathologist,graduation gift,SLP thank you gift,SLP graduation gift,speech gift,chenille letters,SLPA,SLP cosmetic bag",United States,2023-04-12,yes,no,no,GreatDayEssentials,https://www.etsy.com/listing/1445164716/slp-gifts-speech-therapist-thank-you
"Personalized Leather Luggage tag with antic brass plates, Custom Travel Tag, Wanderlust gift, Wedding Favor tags, Traveler's gift ",17.55,5,278,38,2,226,16,"coordinates keychain,longitude latitude,custom location gift,couples luggage tags,travel couple gift,initial luggage tags,name luggage tags,baggage tags,Wedding Favor tags,leather luggage tags,brass tags,coordinates gift him,his hers luggage tag",United States,2023-04-29,yes,no,no,NorthCraftWood,https://www.etsy.com/listing/1457366460/personalized-leather-luggage-tag-with
"Personalized Duffle Bag, Weekender Bags with Name, GYM Travel Bag, Embroidered Duffle Bag, Father's Day Gift for Dad/Husband, Gift for him ",19.98,5,693,61,1,289,10,"custom travel bag,personalized bag,monogram travel bag,weekender bag,custom weekender bag,Duffle Bag,custom duffle bag,monogram duffle bag,waterproof bag,gym bag,duffel bags,gift for him,father's day gift",United States,2023-04-11,yes,no,no,MTKIDS,https://www.etsy.com/listing/1458987601/personalized-duffle-bag-weekender-bags
"Quilted make up bags, floral make up bag, cute bag, boxy make up bag, gingham make up bag, kawaii bag, blue  floral makeup bag ",24.3,4,183,30,1,776,9,"floral makeup bag,kawaii makeup bag,cute makeup bag,quilted makeup bag,boxy makeup bag,slim pencil case,gingham makeup bag,cotton cosmetic bag,large make up bag,travel essentials,clear makeup bag,small make up bag,bridemaid makeup bag",United States,2023-03-24,yes,no,no,Armesetsy,https://www.etsy.com/listing/1445957819/quilted-make-up-bags-floral-make-up-bag
"Personalized Leather RFID Wallet, Engraved Genuine Leather Custom Wallet, Anniversary Gift For Him, Men, Father, Dad, Husband, Boyfriend ",12.99,4,512,119,3,298,1,"gift for boyfriend,gift for him,gift for men,leather wallet,personalized wallet,rfid leather wallet,slim leather wallet,travel wallet,bifold wallet,mens wallet,custom wallet,engraved wallet,Christmas Gift",United States,2023-05-26,yes,no,no,NileLeatherUSA,https://www.etsy.com/listing/1476195806/personalized-leather-rfid-wallet
Custom Fanny Packs | Personalized Fanny Pack | Travel Bag | Mouse Bag | Magical Park Bag | Crossbody Bag | Belt Bag with Patches | Park Bag ,22.0,4,72,16,2,193,12,"Stoney clover Fanny,custom Fanny pack,crossbody bag,bag around waist,shoulder bag,nylon fanny packs,belt bag,travel bag,nylon patch bag,bag with patches,fanny pack,fanny pack with name",United States,2023-05-04,yes,no,no,PinkJoyCo,https://www.etsy.com/listing/1460430154/custom-fanny-packs-personalized-fanny
"Beaded purse straps, custom beaded straps, beaded coin purse, college purse straps, beaded straps, purse straps , custom straps ",24.95,4,197,19,4,206,12,"BEADED STRAP,game day strap,purse straps,boomer sooner,OU Sooner,OU,BEADED PURSE STRAP,gameday,gameday accessories,college purse strap,football,sooners,OKHLAHOMA",United States,2023-04-01,yes,no,no,StadiumAccessories,https://www.etsy.com/listing/1437586426/beaded-purse-straps-custom-beaded-straps
