title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Fluffy Slippers With Customized Title + Name - Bridesmaid Proposal - Bride to Be Gift - Getting Ready Bridal Party Slippers - Bridal Shower ,9.9,298,1469,259,48,888,82,"bridesmaid slippers,bride slippers,bridal slippers,slippers,bridesmaids slippers,wedding slippers,bridesmaid slipper,mrs slippers,fuzzy slippers,cozy slippers,birthday gift mom,spa slippers,personalized shoes,custom name,mama slippers,bridal party,bridesmaid proposal,bridal shower gift,maid of honor gift,Mrs and name",United States,2023-05-23,yes,no,no,strongconfidentYOU,https://www.etsy.com/listing/1473710424/fluffy-slippers-with-customized-title
"Rustic Personalized Wedding Cake Topper, Custom Script Cake Topper for Wedding, Mr and Mrs Cake Toppers ",12.45,147,482,130,36,573,71,"wedding cake topper,personalized cake,custom cake topper,rustic cake topper,gold cake topper,toppers for wedding,name cake topper,Mr and Mrs cake,boho cake topper,last name topper,gold caketopper,couple cake topper",United States,2023-06-28,yes,no,no,TheLocalKrafter,https://www.etsy.com/listing/1498101980/rustic-personalized-wedding-cake-topper
Custom Bride Robe | Satin with Lace Trim Robe | Bride Getting Ready Robe | White Bride Robe | Wedding Day Robe | Custom Satin Robe (EB3260P) ,14.0,122,1122,120,14,350,15,"bride robe,mrs robe,mrs,custom,personalized,bride gift,bride gift ideas,bridal shower gift,for bride,bride to be,future mrs,lace,last name",United States,2023-06-02,yes,no,no,ModParty,https://www.etsy.com/listing/1480964366/custom-bride-robe-satin-with-lace-trim
"Customized PJ Set, Bridesmaid pj pants with Long Sleeve, Bridesmaid pj shorts with Short Sleeve, Bridesmaid Gift, Satin Pjs, Bridal Gift ",21.99,108,581,89,21,421,27,"bridesmaid gift,bridesmaid,personalized,bachelorette party,bachelorette,bridesmaid proposal,matching pajamas set,bridesmaid pajamas,custom pajamas,bridal party pajamas,bridesmaid robe,long pants pajamas,long pants pj's",United States,2023-03-24,yes,no,no,lamarieegiftsNY,https://www.etsy.com/listing/1445789005/customized-pj-set-bridesmaid-pj-pants
"Newspaper Bridesmaid Proposal Card Template, Editable Bridesmaid Proposal Card, Newspaper Bridesmaids Photo Card, Printable Bridesmaid Card ",7.12,88,334,47,9,1288,155,"newspaper bridesmaid,bridesmaid proposal,newspaper template,newspaper proposal,retro bridesmaids,wedding bridesmaids,bridesmaid gift box,cards for bridesmaid,editable bridesmaid,editable wedding,editable newspaper,modern wedding,minimalist brides",United States,2023-06-10,yes,no,no,namiprintstudio,https://www.etsy.com/listing/1500192433/newspaper-bridesmaid-proposal-card
"Mother of the Bride Handkerchief from the Bride, Wedding Handkerchief from Daughter, Mother of the Bride Gift from Bride, Wedding Gift Mom ",19.98,79,525,98,13,726,96,"mother of bride gift,mother of the bride,personalized gift,printed handkerchief,wedding handkerchief,wedding gift for mom,wedding gift mother,gift from daughter,mom wedding gift,custom wedding gift,mother wedding gift,gift from bride,wedding hankerchief",United States,2023-06-27,yes,no,no,LoavesFishFellowship,https://www.etsy.com/listing/1497358634/mother-of-the-bride-handkerchief-from
"Groomsman 11oz Whiskey Glass, Engraved Old Fashion, Groomsmen Gift Idea, Personalized Groomsman - Best Man Gift, Wedding Shot Glasses ",9.94,76,435,100,18,565,62,"father of the groom,father of the bride,wedding favors,groomsman gift,groomsmen gift,Groomsmen proposal,Bachelor party,Wedding party gifts,Custom wedding gift,Best Man Gifts,personalized whiskey,custom whiskey glass,wedding shot glass",United States,2023-06-01,yes,no,no,CARVELITA,https://www.etsy.com/listing/1494314991/groomsman-11oz-whiskey-glass-engraved
Personalized Officiant Whisky Label/Officiant Gift/Officiant Proposal/Officiant Gift for Men/Officiant Wine Label/Gift for Wedding Officiant ,3.49,72,1059,241,17,630,10,"wine label,wine bottle label,label template,Groomsman Proposal,Proposal Card,Gift For Him,Wedding Officiant,Whisky Labels,Officiant Gift Idea,Officiant Duties,Will you marry us,champagne  label",United States,2023-03-31,yes,no,no,TheSpiritedLabels,https://www.etsy.com/listing/1436985244/personalized-officiant-whisky
"Personalized Song Acrylic Plaque, Personalized Gift, Wedding Gift, Anniversary Gift, Birthday Gift, Couples Gift, Minimalist Home Decor ",10.5,63,146,32,14,1559,415,"Personalized Gift,Acrylic Plaque,Music plaque,Song plaque,Spotify Plaque,Home Decor,Birthday Gift,Wedding Gift,Couples Gift,Anniversary Gift,Gift For Him,Gift For Her,Spotify Glass",United States,2023-07-17,yes,no,no,PixArtsCo,https://www.etsy.com/listing/1510461284/personalized-song-acrylic-plaque
Wedding Guest Book Wedding Guestbook Photo Booth Album Alternative Custom Wedding Guestbook Rustic Guest Book Unique Wedding Guest Book ,37.79,61,163,31,6,130,9,"Wedding Guest Book,Wedding Guestbook,Photo Booth Album,Rustic Guest Book,wooden guest book,modern wedding,wedding photo book,wedding album,photo guest book,wedding book,photobooth guestbook,rustic wedding guest,wooden guestbook",United States,2023-06-30,yes,no,no,RedBerryGuestBooks,https://www.etsy.com/listing/1499438716/wedding-guest-book-wedding-guestbook
"Wedding Decor, Wedding Sign, Custom 3D Wedding Welcome Sign, Wedding Welcome Sign, Personalized Wedding Sign, Sign for Wedding Entrance ",56.06,61,223,41,11,786,113,"wedding sign,wedding signs,wedding welcome sign,welcome sign wedding,wood wedding sign,wedding decor,wedding gift,custom wedding sign,signs for wedding,acrylic wedding sign,3D wedding sign,personalized wedding,wedding venue sign",United States,2023-05-01,yes,no,no,TimelessAccessoryInc,https://www.etsy.com/listing/1458569074/wedding-decor-wedding-sign-custom-3d
"Personalized Hanger,Bride hanger,Bridal Dress Hanger,Wedding Hanger,Bridesmaid hangers,Wedding Dress hanger,bridesmaid gifts,Bridal gift ",18.6,58,565,227,28,595,35,"bride hanger,Custom hanger,wedding hanger,personalized hangers,custom bridal hanger,bridal shower gifts,wedding dress hanger,bridal hanger,bridal gifts,Bridesmaid Hangers,Bridal Dress Hanger,Bridesmaid gifts,wedding hangers",United States,2023-04-02,yes,no,no,WireNameART,https://www.etsy.com/listing/1452287243/personalized-hangerbride-hangerbridal
Custom Birth Month Jewelry Box | Personalized Flower Jewelry Organizer | Gift for Her | Birth Month Flower Bridesmaid Box - 31 ,5.25,57,144,21,0,57,14,"gift for her,personalized gift,bridesmaid gift,custom jewelry box,bridesmaid proposal,jewelry organizer,bridesmaid box,earring organizer,jewelry organization,custom bridesmaid,birth month jewelry,flower jewelry box,custom birth month",United States,2023-07-18,yes,no,no,ImprintandImpress,https://www.etsy.com/listing/1525201663/custom-birth-month-jewelry-box
"Custom Bride transparent tote bag, Bride to be beach bag, bride honeymoon bag, bridesmaids gifts, bride gifts, beach tote bag, Bride -patc ",9.99,57,680,112,10,1680,42,"bride honeymoon bag,bridesmaids gifts,beach tote bag,custom beach bag,custom beach totes,transparent bag,bride totes,Bride gift,Bridal Shower Gift,Clear tote bag,Bride bag,Custom Bride  bag,beach bride totes",United States,2023-05-10,yes,no,no,BridesmaidsHouse,https://www.etsy.com/listing/1478684211/custom-bride-transparent-tote-bag-bride
Signature Cocktails Frosted Acrylic Wedding Bar Sign  || custom wedding bar sign personalized bar drinks sign menu after party 03-038-589 ,20.96,55,166,47,10,489,95,"wedding sign,acrylic wedding sign,custom wedding menu,custom wedding sign,frosted wedding sign,his and hers drinks,signature cocktail,custom acrylic sign,signature drink sign,wedding signs bundle,dog signature drink,acrylic table number,custom food sign",United States,2023-04-24,yes,no,no,1801andco,https://www.etsy.com/listing/1467671675/signature-cocktails-frosted-acrylic
To My Mother on My Wedding Day Bride Mom Gift for Mother of The Bride Gift from Daughter Diamond April  Mothers day bracelet Wedding Jewelry ,17.5,48,497,113,7,413,56,"To My Mother,on My Wedding Day,Bride Mom Gift,for Mother,of The Bride,Gift from Bride,Mother Gift,Necklace Gift,Wedding Gift,Jewelry Gift,Mother of Bride Card,Diamond Necklace",United States,2023-03-29,yes,no,no,redcarnationdesign,https://www.etsy.com/listing/1435411244/to-my-mother-on-my-wedding-day-bride-mom
"Rustic Script Wedding Cake Topper, Personalized Cake Topper for Wedding, Mr and Mrs Cake Toppers ",12.45,47,167,52,16,252,40,"wedding cake topper,personalized cake,custom cake topper,rustic cake topper,gold cake topper,toppers for wedding,name cake topper,Mr and Mrs cake,boho cake topper,last name topper,gold caketopper,couple cake topper",United States,2023-06-28,yes,no,no,TheLocalKrafter,https://www.etsy.com/listing/1498102684/rustic-script-wedding-cake-topper
For Happy Tears Personalized/Embroidered Wedding Handkerchief w/date. Father of Bride Gift/Mother of the Bride or Groom Gift/ Ships FAST! BB ,25.0,47,519,137,14,1314,72,"wedding handkerchief,hankerchief,handkerchief wedding,wedding hankerchief,mother of the bride,custom hankerchief,something blue,Father of the Bride,Rehearsal DinnerGift,Dad Wedding Gift,Father Daughter Gift,Father Handkerchief,MonogramHandkerchief,Personalized hankie,Mother of Bride Gift,Mother of Groom Gift,Only Happy Tears,Happy Tears Hankie",United States,2023-04-20,yes,no,no,yourbabysroom,https://www.etsy.com/listing/1465000393/for-happy-tears-personalizedembroidered
Bridal Shower Pens ,15.61,46,123,55,3,100,0,"Bridal Shower Gifts,Bridal Shower,Gifts,Gift Pens,Bridal Shower Games,Pens,Wedding,Bridesmaids gifts,custom pens,personalized gifts,bridal shower favors,Wedding shower favor,custom bridal favors",United States,2023-04-11,yes,no,no,ACEpenshop,https://www.etsy.com/listing/1459134503/bridal-shower-pens
"Bridesmaid Proposal with Can Cooler, Will You Be My Bridesmaid Personalized Gift Box Set Matron of Honor Maid of Honor Glass Tumbler ",30.59,46,679,156,14,942,71,"bridesmaid proposal,dusty blue,koozie,maid of honor,matron of honor,sage,bachelorette,bridesmaid tumbler,gift box,will you be my,orange burnt",United States,2023-04-17,yes,no,no,ChicBoutiqueByKat,https://www.etsy.com/listing/1463107963/bridesmaid-proposal-with-can-cooler-will
Personalized Decision Maker Coin | Argument Solver | Engraved | Couples Date Night | Flip Coin | 5th Anniversary Wood Gift | For Her/Him ,8.99,43,1249,287,14,1593,88,"Custom Flip Coin,Gift for him,Gift for her,5 year wedding gift,Wedding gift,Gift for Couple,Anniversary Gift,Gag Gift,Funny gift,Personalization Gift,Decision Making Coin,Engraved Wood Gift,Engraved Wood Coin",United States,2023-03-24,yes,no,no,CustomGiftsByTaylor,https://www.etsy.com/listing/1445864351/personalized-decision-maker-coin
"Cake Knife and Server Set with 2 Dessert Forks - Personalized, engraved wedding or anniversary cake cutting gift for couples, wedding party ",52.0,43,115,33,6,146,0,"custom engraved,wedding server set,anniversary gift,cake server,wedding gift,colorful cake server,personalized cake,cake cutting set,Bridesmaid Groomsman,Wedding Party,black cake knife,knife and server set",United States,2023-05-20,yes,no,no,TimsWoodDesigns,https://www.etsy.com/listing/1471856078/cake-knife-and-server-set-with-2-dessert
Personalized bridesmaid jewelry case box- bridesmaid proposal idea- custom jewelry box with name- flower girl gift box bridal party box ,13.59,41,311,169,16,583,26,"travel jewelry case,travel jewelry box,jewelry box,jewelry box travel,small jewelry box,jewelry travel case,jewlerybox travel,jewelry case,jewelry holder,Ring box,Bridesmaid box,Jewelry box with nam,Personalized jewelry,Bridesmaid gift idea,Bridesmaid proposal,Flower girl box,Thank you gift idea,Travel case",United States,2023-04-02,yes,no,no,HappilyChicDesigns,https://www.etsy.com/listing/1452668425/personalized-bridesmaid-jewelry-case-box
"Gold Will You Be My Bridesmaid Proposal Box Set, Personalized Bridesmaid Gift Box Set Matron, Maid of Honor Glass Tumbler BLUE SAGE BLUSH ",28.04,41,1138,271,25,1136,63,"bridesmaid gift box,maid of honor,matron of honor,bridesmaid proposal,gift box,personalized,bridesmaid tumbler,Dusty Blue,Burgundy,gay wedding,Groomswoman",United States,2023-05-24,yes,no,no,ChicBoutiqueByKat,https://www.etsy.com/listing/1488617895/gold-will-you-be-my-bridesmaid-proposal
bachelorette party shirts bridesmaid proposal shirts maid of honor shirts wedding party shirts minimalist bachelorette shirts - LCITLE ,11.3,38,115,16,0,66,3,"bridesmaid gift,bachelorette party,bridal party tshirt,Bridesmaid Proposal,wedding proposal box,bachelorette shirts,wedding party shirt,bridesmaid shirt,i do crew shirts,icecreamnlove,proposal box items,personalized wedding,left chest print",United States,2023-04-06,yes,no,no,icecreaMNlove,https://www.etsy.com/listing/1441595470/bachelorette-party-shirts-bridesmaid
"Custom Bride Mrs Pearls Fluffy Slippers, Bridal Fluffy Cross  slippers, Bride Gift, Bridal Shower, Bachelorette Gift Custom Slippers-patche ",4.4,37,462,105,11,450,7,"bridesmaid gifts,bridesmaid slippers,bachelorette gifts,bridal slippers,customized slippers,bridesmaid proposal,bride slippers,wedding slippers,Mrs slippers,Getting ready,wedding morning,bride gift,bride slipper",United States,2023-06-06,yes,no,no,SistersGShop,https://www.etsy.com/listing/1482935232/custom-bride-mrs-pearls-fluffy-slippers
Wedding Gift for Groom - Dog Tie clip - Custom Tie Clip - Tie Clip Personalize Pet Portrait -Engraved Tie Bar -Logo Tie Clip -Groomsman Gift ,14.99,36,331,68,0,257,18,"custom tie clip,tie clip personalize,Tie Clip for Groom,Tie Clip Mens,Engraved Tie Clip,personalized tie bar,Boyfriend gift,Groom gift,tie bar,logo tie clip,groomsmen tie clip,tie bar custom,Pet Picture Tie Bar",United States,2023-04-04,yes,no,no,AnaviaDesign,https://www.etsy.com/listing/1454181971/wedding-gift-for-groom-dog-tie-clip
"Personalized Coasters, Custom Engraved Marble Wooden Coaster, Wedding Coaster, Home Decor, Wedding Gifts, Housewarming Gift, Gift for Couple ",10.0,36,598,116,8,1892,137,"wedding coasters,custom coasters,housewarming gifts,anniversary gifts,personalized gifts,wedding favors,family coasters,wedding mementos,gifts for guests,rustic wedding,personalized coaster,engraved coasters,bulk wedding favors",United States,2023-05-18,yes,no,no,iCustomWeddings,https://www.etsy.com/listing/1484395461/personalized-coasters-custom-engraved
Vintage Wildflower seeds packets - wedding favor - wildflower funeral seed favor Pollinator mix - Gift for DIY Gardeners and Friends ,17.0,36,832,139,18,1271,113,"wildflower favor,wedding seeds favor,bridal shower favor,baby shower favor,wildflower envelopes,seeds envelope,flower wedding favor,seed wedding favor,shower seed favor,botanical favor,save the bees,garden DIY gift,save the bee",United States,2023-06-07,yes,no,no,PeonyLacePaperie,https://www.etsy.com/listing/1497958477/vintage-wildflower-seeds-packets-wedding
President Sash - Let's Go Party - Custom Satin Sash - Cosplay Costume ,16.2,35,126,25,7,271,49,"Future Mrs Gift,Bridal Shower,Gifts for the bride,Bachelorette Weekend,Bride To be,Custom Sash,Miss To Mrs,Personalized Gift,Barbie Sash,Barbie President,Barbie Bachelorette,Barbie Movie,Satin Glitter Sash",United States,2023-08-01,yes,no,no,FestiveGal,https://www.etsy.com/listing/1520490294/president-sash-lets-go-party-custom
Signature Drinks Bar Arch Sign || custom acrylic wedding sign personalized bar drinks sign menu after party table sign decor 03-038-587 ,20.96,34,744,115,5,2829,29,"wedding sign,acrylic wedding sign,custom wedding menu,custom wedding sign,frosted wedding sign,his and hers drinks,signature cocktail,custom acrylic sign,signature drink sign,wedding signs bundle,dog signature drink,acrylic table number,custom food sign",United States,2023-04-22,yes,no,no,1801andco,https://www.etsy.com/listing/1452183966/signature-drinks-bar-arch-sign-custom
Welcome to Our Wedding Wall Decal - Welcome Stick for Mirror - Engagement Party - Wedding - We're so glad you are here - Wedding Stickers ,6.95,33,266,40,1,416,42,"wall decal,vinyl wall decal,Personalized,Mr and Mrs Decal,just married,mr and mr,mrs and mrs,Welcome,wedding sign,wedding welcome sign,Soon to be,welcome to our,wedding decal",United States,2023-05-13,yes,no,no,StickyWallVinyl,https://www.etsy.com/listing/1480902409/welcome-to-our-wedding-wall-decal
Live Edge Charcuterie Board Personalized Rustic Cheese Board Custom Olive Wood Board Live Edge Board 5th Anniversary Gift Wedding Gift ,64.3,33,385,56,4,906,74,"Custom cutting board,Wood cutting board,Olive wood board,Charcuterie board,5th anniversary gift,Live edge board,Engraved board,Personalized board,live edge,cutting board,cheese board,wedding gift,personalized wedding",United States,2023-04-20,yes,no,no,ForestDecorShop,https://www.etsy.com/listing/1451077946/live-edge-charcuterie-board-personalized
Wildflower Bridal Shower Favor Candles / Personalized 4 oz. Soy Candle Favors / Personalized Favors / Greenery Bridal Shower Favors ,5.17,32,226,49,3,286,16,"Bridal Shower Candle,Candle Favors,Bridal Shower Favors,Soy Candle Favors,Bridal Shower Gifts,Unique Favors,Bridal Shower Gold,Personalized Favors,Unique Bridal Shower,Wildflower Favors,Boho Wedding Favor,Floral Bridal Shower,Modern Favors",United States,2023-04-24,yes,no,no,TheDancingWick,https://www.etsy.com/listing/1467907201/wildflower-bridal-shower-favor-candles
"Personalized Walnut Keepsake Box, Wedding Memory Box, Wedding Keepsake Box, Anniversary Gifts, Bridal Shower Gift, Photo Memory Box ",59.95,31,273,61,6,325,24,"keepsake box,wedding box,memory box,personalized gift,wedding gift,couples gift,anniversary gift,photo box,wooden memory box,wedding memory box,wedding keepsake box,memory box couples,wooden keepsake box",United States,2023-05-12,yes,no,no,KandJKeepsakes,https://www.etsy.com/listing/1480472291/personalized-walnut-keepsake-box-wedding
"Groomsmen Gifts Can Cooler Holder, Personalized Gift for Groomsmen, Beer Can Holder, Engraved Can Cooler Gift for Wedding Favors Party Gifts ",3.47,30,74,85,10,80,16,"Personalized Gifts,Groomsmen Proposal,Beer Can Coolers,Gifts Personalized,Groomsmen Gift Ideas,Groomsmen Can,Can Coolers,Cheap Groomsman Gift,Cheap Wedding Favors,Wedding Party Gifts,Gifts for Men,Fathers Day Ideas",United States,2023-04-25,yes,no,no,HisCorner,https://www.etsy.com/listing/1454201418/groomsmen-gifts-can-cooler-holder
"Welcome Wedding Sign, Personalized Welcome to our Wedding Sign, Brushed Acrylic Wedding Sign, Wedding Decor, Modern Wedding Welcome Sign ",45.0,30,220,44,3,419,31,"wedding welcome sign,welcome wedding sign,welcome wedding,wedding seating sign,wedding sign,brushed welcome sign,brushed wedding sign,acrylic wedding sign,acrylic welcome,ENGAGEMENT PARTY,wedding welcome,party welcome sign",United States,2023-06-02,yes,no,no,WoodlandShanty,https://www.etsy.com/listing/1495109663/welcome-wedding-sign-personalized
"Custom Groomsmen Flask,Engraved Hip Flask,6OZ Flask, Stainless Steel Hip Flask,Groomsman Gift,Wedding Gift,Groomsman Proposal,Gift For Groom ",6.5,26,101,20,5,656,52,"personalized gifts,birthday gifts,wedding favours,custom flask,groomsmen flasks,gifts for groomsman,Groomsmen Proposal,Barware,engraved hip flask,gift ideas for men,wedding party gifts,Christmas Gifts,custom hipflask",United States,2023-06-30,yes,no,no,WeddingClub,https://www.etsy.com/listing/1499691250/custom-groomsmen-flaskengraved-hip
"Custom Wedding Gift Sign Name, Personalized Family Name Wood Letters Mr Mrs, Sleek, Modern Sweetheart Head Table Decor, Photo Prop, newlywed ",46.39,25,486,65,4,1098,73,"Personalized Name,custom name sign,wedding head table,sweetheart table,wedding photo prop,family last name,mr mrs table decor,custom wedding decor,wedding gift couple,wedding centerpiece,wood signage,custom mr mrs sign,keepsake anniversary",United States,2023-05-16,yes,no,no,KobasicCreations,https://www.etsy.com/listing/1483414813/custom-wedding-gift-sign-name
Digital Rehearsal Dinner Invitation | Modern Minimalist Wedding Rehearsal Evite | Electronic Text Dinner Invite | Editable Template | M9 ,5.99,25,315,38,3,309,18,"minimalist wedding,modern wedding,rehearsal dinner,digital rehearsal,rehearsal invite,rehearsal evite,dinner evite,electronic rehearsal,minimalist rehearsal,modern rehearsal,the night before,dinner text invite,editable template",United States,2023-04-27,yes,no,no,AWildBloomDesigns,https://www.etsy.com/listing/1469981897/digital-rehearsal-dinner-invitation
"Bridesmaid Robes Set of 4,5,6,7,8,9,10,11,12,13,14,15, Silk Bridesmaid Robes, Bridesmaid Gift, Bridal Robes, Wedding Robes, Lace Satin Robes ",76.5,24,443,105,10,939,50,"bridesmaid robes,wedding robe,silk robes,set of 6 robes,bachelorette party,gift for bridesmaid,set of 8 robes,set of 7 robes,bridal robes,set of robes,bachelorette robes,set of bridal robes,bridesmaid gifts",United States,2023-05-20,yes,no,no,LamarieeNewYork,https://www.etsy.com/listing/1485819553/bridesmaid-robes-set-of
"BLAIR Minimal Wedding Welcome Letter Template, Wedding Icon Timeline Printable, Modern Minimalist Wedding Welcome Bag Letter Weekend Events ",5.39,21,27,9,0,148,2,"printable timeline,wedding itinerary,wedding timeline,day of timeline,welcome letter,wedding schedule,destination wedding,minimal wedding,order of events,modern wedding,weekend itinerary,weekend events,welcome bag letter",United States,2023-03-27,yes,no,no,UnmeasuredEvent,https://www.etsy.com/listing/1434227114/blair-minimal-wedding-welcome-letter
"If I Had One Wish, You Should Be Here Memorial, Wedding Memorial, Frosted Memorial Sign, Clear Memorial Wedding, Wedding Memorial, Julie ",15.49,21,485,34,4,1058,110,"Weddings Decorations,wedding sign,wedding sign clear,memory wedding sign,Wedding Memorial,Memorial For Loss,Acrylic Wedding,Loss of Loved One,Acrylic Memorial,memorial wedding,In Loving Memory,Remembrance Candle,Wedding Sign Loss",United States,2023-04-07,yes,no,no,BlessedBirdyBoutique,https://www.etsy.com/listing/1442284878/if-i-had-one-wish-you-should-be-here
Signature Dog Cocktails Wedding Sign  || Frosted Acrylic custom wedding bar sign personalized bar drinks sign menu 03-038-590 ,20.96,21,231,36,3,513,18,"custom acrylic sign,custom wedding sign,signature cocktails,bar menu sign,wedding bar sign,bar menu drink,acrylic wedding sign,personalized wedding,wedding bar signs,his and hers drinks,signature cocktail,signature drink sign,wedding signs bundle",United States,2023-04-24,yes,no,no,1801andco,https://www.etsy.com/listing/1467728909/signature-dog-cocktails-wedding-sign
Bridal block Heels - D'Orsay ankle strap  Pearl Heels - Bridal Shoes - Wedding shoes  ,156.02,20,122,36,2,1019,75,"Wedding Shoes,Wedding Heels,Bridal Heels,Brautschuhe,Pearl Heels,Wedding Block Heel,wedding wedges,Pearl wedding shoes,bridal  block heel,block heel  shoes,Pointed Toe  Pumps,D'Orsay ankle strap,D'Orsay  heels",United States,2023-05-19,yes,no,no,PelinoSandals,https://www.etsy.com/listing/1485076625/bridal-block-heels-dorsay-ankle-strap
Bridesmaid Gift Box PINK Bridesmaid Box Gifts Personalized Pink Box Pink Bridesmaid Gift Idea (EB3388BPW) Bridesmaid Proposal Box EMPTY ,10.0,18,921,201,26,1613,106,"bridesmaid gift box,bridesmaid box,personalized box,bridesmaid proposal,will you be my,pink gift box,custom proposal box,proposal box,maid of honor box,be my bridesmaid,custom gift box,bridesmaid gift idea,magnetic gift box",United States,2023-03-26,yes,no,no,ModParty,https://www.etsy.com/listing/1433418614/bridesmaid-gift-box-pink-bridesmaid-box
"Personalized Neon Transparent Tote Bag, Bridesmaid Bachelorette Beach Party Gift, Clear Tote Bags, Custom Bridesmaid Proposal Tote Bag Gifts ",12.5,18,675,110,0,455,3,"Bridesmaid Tote Bag,Transparent Bag,Custom Tote Bag,Reusable Bag,Clear Tote Bag,Retro Clear Tote,Bachelorette Favors,Bridesmaid Gifts,Bridal Tote Bag,Bride Tote Bag Gift,Beach Tote Bag,Personalized Tote,Waterproof Tote Bag",United States,2023-04-20,yes,no,no,PrettyRobesShop,https://www.etsy.com/listing/1450917428/personalized-neon-transparent-tote-bag
ARCH Gold Silver or Rose Gold Mirror Please Sign Our Guestbook Personalized Acrylic Wedding Reception Party Decor Guest Book Sign ,24.99,17,148,29,2,133,1,"acrylic wedding sign,wedding reception,gold mirror arch,rose gold cards sign,arch mirror acrylic,guestbook sign,acrylic guestbook,gold guestbook sign,rose gold guestbook,gold mirror gifts,arch gold cards sign,arch gold guestbook,silver guestbook",United States,2023-04-12,yes,no,no,PinkPosiesandPearls,https://www.etsy.com/listing/1459310883/arch-gold-silver-or-rose-gold-mirror
Thin Modern Cursive Number SET Black or White with GLUE cut out Acrylic ,3.0,17,670,64,3,405,7,"address numbers,mailbox numbers,mailbox decal,acrylic numbers,laser cut numbers,wedding numbers,table numbers,diy wedding,acrylic table number,white acrylic letter,numbers cut out,wedding table number,black cursive letter",United States,2023-04-29,yes,no,no,GoHomeNumbers,https://www.etsy.com/listing/1457010460/thin-modern-cursive-number-set-black-or
Personalized Gift for Bride - Wedding Bouquet Charm Custom Pet Photos - Bridal Bouquet Pins Charm - Wedding Memory Bouquet Charm ,13.74,17,190,59,13,280,8,"bouquet charm,bridal bouquet charm,bouquet photo charm,bouquet charms,photo charm,charm for bouquet,bridal shower gift,bridal gifts,photo jewelry,bouquet charm pins,wedding gift,Photo charm pins,Charms for Bouquets,Photo Bouquet charm,Wedding Memory Charm,Pet memorial Jewelry,Custom Pet Photos,pet jewelry",United States,2023-05-18,yes,no,no,AnaviaDesign,https://www.etsy.com/listing/1484728527/personalized-gift-for-bride-wedding
Block heel wedding IVORY leather sandals/ Handmade ivory leather heels/ Bridal shoes/ Pearl wedding shoes/ Ivory bridal heels LINDA ,147.94,17,282,52,4,856,52,"wedding shoes,bridal shoes,heels for bride,ivory shoes,leather wedding shoe,magosisters,wedding pearls,white leather shoes,pearl bridal sandal,block heel bridal,size EU43,size US12",United States,2023-05-09,yes,no,no,magosistersgr,https://www.etsy.com/listing/1464200522/block-heel-wedding-ivory-leather-sandals
Bridal Gifts - Bridal Bouquet Pins Charm - Wedding Bouquet Charm Custom Family Photos - Photo Bouquet Charm - Bridal Shower Gift ,13.74,17,75,18,3,79,1,"bridal shower gift,bridal gifts,gift for bride,bouquet charms,custom jewelry,bouquet charm pins,wedding gift,Charms for Bouquets,Photo Bouquet charm,Wedding Memory Charm,bridal bouquet charm,Dad gift on Wedding,Photo charm pins",United States,2023-05-18,yes,no,no,AnaviaDesign,https://www.etsy.com/listing/1484659683/bridal-gifts-bridal-bouquet-pins-charm
"Groomsmen Gifts, Groomsmen Proposal, Custom Wedding Gifts, Leather Toiletry Bag, Gift for Him, Personalized Gifts For Men, Leather Dopp Kit ",10.0,16,69,38,33,405,107,"toiletry bag,leather dopp kit,leather toiletry bag,mens toiletry bag,gift for him,leather bag,bags for men,dopp kit,Wedding gifts,Personalized gifts,Groomsmen proposal,groomsmen gifts,groomsman gift",United States,2023-08-02,yes,no,no,BigbullWallets,https://www.etsy.com/listing/1521264760/groomsmen-gifts-groomsmen-proposal
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker - wedding shoe for the BRIDE - all white pearls ,145.0,16,383,108,5,1628,65,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-03-30,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1436381384/wedding-bridal-sneaker-personalized-air
"Reserved Acrylic Memorial Sign, Acrylic Memorial Sign, Frosted Acrylic Wedding Memorial Sign, In Loving Memorial Sign, Wedding Sign for Loss ",29.98,16,127,27,2,328,52,"Acrylic Wedding Sign,frosted acrylic sign,clear acrylic sign,wedding memorial,in loving memory,loving memory sign,memorial table sign,Memorial Gift,Sympathy Gift,Wedding Chair Sign,Mother of the Bride,Mother of the Groom,Wedding reserve sign",United States,2023-05-07,yes,no,no,BlessedBirdyBoutique,https://www.etsy.com/listing/1477226975/reserved-acrylic-memorial-sign-acrylic
"Personalized Cake Knife and Server Set - engraved wedding or anniversary cake cutting gift for couples, unique keepsake, something new ",28.0,16,423,161,7,383,12,"custom engraved,cake knife,wedding server set,anniversary gift,cake server,wedding gift,personalized cake,cake cutting set,bridal shower,something new,wedding accessories,colorful cake server,Knife and server set",United States,2023-04-06,yes,no,no,TimsWoodDesigns,https://www.etsy.com/listing/1455321605/personalized-cake-knife-and-server-set
