title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Taylor Swift Bookmark - Swiftie - Midnights - Book Lover - Swiftie Bookmark - Eras Tour - Taylor Swift Merch ,5.5,73,452,93,15,1056,91,"swiftie bookmark,swiftie gift,book lover,eras tour,eras tour merch,eras tour sticker,swiftie merch,booktok,book nerd gift,book lover gift",United States,2023-06-08,yes,no,no,OnlyAngelCraftCo,https://www.etsy.com/listing/1484540300/taylor-swift-bookmark-swiftie-midnights
"Customized Leather Journal, Personalized Leather Journal, Journal with Name, Personalized Notebook, Personalized Diary, Monogram Journal ",7.75,67,234,53,16,265,45,"journal,personalized journal,notebook,journals,custom journal,notebooks,custom notebook,leather journal,gratitude journal,manifestationjournal,gift for her,mothers day gift,engraved journal,self care journal,leather notebook,monogrammed journal,customized notebook,journal for women",United States,2023-06-16,yes,no,no,EliteEngravingCo,https://www.etsy.com/listing/1504674745/customized-leather-journal-personalized
"Custom Birth Flower Bookmark, Personalized Floral Bookmark for Women, Acrylic Bookmark Gift, Name Bookmark, Aesthetic Bookmark with Tassel ",9.99,56,3742,887,40,4328,264,"Name Bookmark,Custom Bookmark,Birth Flower,Flower Bookmark,Floral Bookmark,Bookmark for Women,Personalize Bookmark,Acrylic Bookmark,Bookmark Gift,Aesthetic Bookmark,Bookmark with Tassel,Mothers Day Gifts,Bridesmaid Gifts",United States,2023-03-22,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1429874680/custom-birth-flower-bookmark
"Blind Date with a Book, Curated Gift Box, Mystery Book, Book Lover Gift, Bookworm Gift, book box ",34.0,29,82,20,4,473,63,"Blind date book,blind date,book lover,Gift for book lover,curated,book box,bookish,booktok,Book,book mark,mystery book,gift",United States,2023-05-11,yes,no,no,Midnightgalacreation,https://www.etsy.com/listing/1480115559/blind-date-with-a-book-curated-gift-box
"Personalized Hand Embroidered Corner Bookmark, Felt Triangle Page Stitched Corner Handmade Bookmark ",12.54,20,1586,431,36,3617,167,"Embroidered Bookmark,for Book Lovers,Handmade Bookmark,Corner Bookmark,Book Corner,Reading Lovers,custom bookmark,name bookmark,Gift for mom,Book Lover Gift,book accessories,Personalized gift,embroidered gifts",United States,2023-04-25,yes,no,no,FnkDIY,https://www.etsy.com/listing/1454166140/personalized-hand-embroidered-corner
"Personalized Name Acrylic Bookmark, Mothers Day Gifts, Gift For Her, Gift For Book Lovers, Handmade Floral Bookmark, Cute Unique Bookmarks ",9.99,19,258,59,3,685,23,"Personalized Gifts,Name Bookmark,Acrylic Bookmark,Mothers Day Gifts,Gift For Her,Gift For Book Lovers,Handmade Bookmark,Floral Bookmark,Cute Bookmark,Unique Bookmarks,Custom Bookmarks,Gift For Mom,Flower Bookmark",United States,2023-04-18,yes,no,no,LosAngelesParty,https://www.etsy.com/listing/1449836546/personalized-name-acrylic-bookmark
"Personalized Hand Embroidered Corner Bookmark, Felt Triangle Page Stitched Corner Handmade Bookmark ",12.54,19,89,61,6,488,12,"Embroidered Bookmark,for Book Lovers,Handmade Bookmark,Corner Bookmark,Book Corner,Reading Lovers,custom bookmark,name bookmark,Gift for mom,Book Lover Gift,book accessories,Personalized gift,embroidered gifts",United States,2023-06-18,yes,no,no,FnkDIY,https://www.etsy.com/listing/1505674115/personalized-hand-embroidered-corner
"Loss of Father Grief Journal, Letters to Dad in Heaven, Loss of Father Gift, Dad Memorial Gift, Dad Remembrance Gift, Loss of Dad Gift ",15.93,19,186,30,5,175,20,"Personalize Notebook,Custom journal,Loss of Father Gift,Dad Memorial Gift,Dad Remembrance Gift,Loss of Dad Gift,Grief Journal,Letters to Dad,father memorial gift,in memory of dad,father sympathy gift,dad sympathy gift,gift for dad",United States,2023-06-01,yes,no,no,DiamondGiftShop,https://www.etsy.com/listing/1479829378/loss-of-father-grief-journal-letters-to
"Loss of Father Memorial Gift Journal, DAD Loss Grief Journal, Letters to My Dad in Heaven Sympathy Gift Father in Heaven Loss of father gift ",19.98,18,401,80,8,475,37,"Bereavement gift,Dad Memorial Gift,Dad Remembrance,Grief Journal,Grieving Gift,Letters to Dad,Loss of Dad,Loss of Father,dad memorial,death of father gift,loss of dad gift,loss of father gift,Father in Heaven",United States,2023-05-21,yes,no,no,MotherHope,https://www.etsy.com/listing/1486644043/loss-of-father-memorial-gift-journal-dad
"Baby Gift, Personalized Children's Book, Custom Name Book, Goodnight Little Name, Bedtime Book, Book with 30 Pages ",29.96,16,282,79,12,346,31,"personalized baby,baby shower gift,newborn gift,gift for baby,new baby gift,personalised baby,bedtime story book,baby girl gift,baby boy gift,baby gift,personalized book,custom baby gift,personalized gift",United States,2023-05-30,yes,no,no,MyKidsDream,https://www.etsy.com/listing/1478522090/baby-gift-personalized-childrens-book
"Custom Embosser Personalized, Cat Book Lover Gift - Custom From the Library of / Ex Libris Book Stamp Custom Self-Inking Stamp  | Design 2 ",29.15,15,372,43,1,2816,172,"Book Embosser,Custom Embosser,Library Embosser,Book Lover Gift,Decorative Books,Ex Libris,Stamp,Embosser Stamp,Custom Book Stamp,Stamps Custom,Library Stamp,Custom Stamp,Book Stamp",United States,2023-05-20,yes,no,no,MonsterStamps,https://www.etsy.com/listing/1485872629/custom-embosser-personalized-cat-book
Blind date with a book (Taylor’s Edition) Swiftie pick your album book ,19.54,15,438,99,28,980,118,"swiftie,eras,eras tour,book box,blind date,blind book,book,books,bookish,booktok,happy mail,swift",United States,2023-05-19,yes,no,no,Midnightgalacreation,https://www.etsy.com/listing/1485293977/blind-date-with-a-book-taylors-edition
USA - Throne of Glass Page Overlays ,28.99,15,97,19,2,665,40,"Books, Movies & Music,Books,Book Sets & Collections",United States,2023-05-13,yes,no,no,ImagineBookssShop,https://www.etsy.com/listing/1481333029/usa-throne-of-glass-page-overlays
"Blind Date with a Dark Romance Book Curated Gift Box, Mystery Book, Book Lover Gift, Bookworm Gift... ",34.0,13,557,87,5,2318,199,"Blind date book,blind date,book lover,Gift for book lover,curated,book box,bookish,booktok,Book,book mark,mystery book,gift,Halloween",United States,2023-03-27,yes,no,no,Midnightgalacreation,https://www.etsy.com/listing/1433833038/blind-date-with-a-dark-romance-book
Letters to My Daughter Personalized Journal | Dear Daughter Journal | Memory Keepsake Journal | Custom Leather Journal | Gift for Daughter ,7.99,13,169,32,5,151,24,"leather journal,personalized journal,gift for her,self care journal,gratitude journal,leather notebook,monogrammed journal,customized notebook,journal for women,custom journal,custom notebook,memory book,daughter gift",United States,2023-07-25,yes,no,no,EliteEngravingCo,https://www.etsy.com/listing/1516073060/letters-to-my-daughter-personalized
"Blind Date with a Book | Free Ship| Cottage Core | Pick genres | Booktok, Romance, YA, Mystery, Fantasy, Sci Fi, Fiction, NonFiction. ",10.99,11,762,212,13,1942,136,"Book,Blind date with book,fantasy,booktok,nonfiction,book date,bookish gift,mystery book,romance fiction,Book lover,cottage core,Book gift,general fiction",United States,2023-05-17,yes,no,no,Lobookdecor,https://www.etsy.com/listing/1469684232/blind-date-with-a-book-free-ship-cottage
TS ERAS TOUR Bookmark Keepsake (Personalized) ,4.0,9,872,87,4,579,17,"Swift,Taylor,The Eras Tour,Eras,Midnights,Reputation,Lover,Speak Now,keepsake,Tour,Swiftie",United States,2023-04-30,yes,no,no,HMBookish,https://www.etsy.com/listing/1472136589/ts-eras-tour-bookmark-keepsake
Celebrating Southern Appalachian Food: Recipes & Stories from Mountain Kitchens ,23.99,9,1503,466,12,561,16,"cookbook,appalachia,southern,home cooking,southern food,Appalachian Foodways",United States,2023-04-24,yes,no,no,BlindPigAndTheAcorn,https://www.etsy.com/listing/1467868257/celebrating-southern-appalachian-food
Personalized Bible - Catholic Bible - New & Old Testament - Gift of Faith - Customized with Message - New Revised Standard Version - NRSV ,51.99,8,91,19,2,120,12,"Catholic Bible,NRSV,Embossed,Personalized,Baptism,Confirmation,1st Communion,Religious Gift,Keepsake,Leather Bible,New Revised Standard,Faith Milestone,Children's Bible",United States,2023-06-24,yes,no,no,LetsMakeMemoriesUS,https://www.etsy.com/listing/1495520596/personalized-bible-catholic-bible-new
Disney Autograph Book Princess Castle Girls Minnie Bow Book  Scrapbook personalized Vacation Photo Book 80 pages ,26.0,8,359,69,7,565,21,"autograph book,mickey mouse,scrapbook,autograph,girls,photo book,custom personalized,memory book,castle,disneyland",United States,2023-03-31,yes,no,no,secondsisterdesigns,https://www.etsy.com/listing/1436677630/disney-autograph-book-princess-castle
Customized Birth Month Flower Journal | Personalized Birth Flower Gift | Gift for Mother's Day | Gift for Her | Birth Flower Journal ,7.99,8,426,108,8,546,24,"leather journal,personalized journal,custom journal,engraved journal,personalized gift,journal,gift for her,birthflower journal,birthflower gifts,mothers day gift,birthday gift,birth month gift,journal with name",United States,2023-04-27,yes,no,no,EphesusTX,https://www.etsy.com/listing/1469850501/customized-birth-month-flower-journal
No Pun Intended by Will Livingston - FULL BOOK Volume One 130 pages over 400 jokes The Last of Us detailed replica PS4 PS5 Firefly TLOU wlf ,17.48,7,299,65,4,716,24,"tlou,thelast of us,firefly,naughty dog,last of us,left behind,Bella Ramsey,Pedro Pascal,cordyceps,volume 1",United States,2023-05-18,yes,no,no,InkTreeCreations,https://www.etsy.com/listing/1470129450/no-pun-intended-by-will-livingston-full
"Women Printing Leather Portfolio, Custom Printing Portfolio,Leather Portfolio with A4 Notepad Holder,Portfolio for Women,Personalized Gifts ",55.0,7,310,38,1,490,17,"business cooperation,personalized gifts,zippered portfolio,Best Corporate Gift,anniversary gift,gift for her,Embossed portfolio,a4 notepad holder,women portfolio,portfolio for women,leather portfolio,leather padfolio,mother's day gift",United States,2023-04-12,yes,no,no,GrainGroove,https://www.etsy.com/listing/1459630709/women-printing-leather-portfolio-custom
Best selling Vet tech notes vet med student veterinary nurse study guide veterinary  technician notebook VTNE study notes NAVALE vet study ,75.0,6,136,23,1,324,24,"vet med student,veterinary nurse,study guide,veterinary,VTNE study,vet study,vet tech notes,vet notebook,Best selling Vet,tech notes,technician  notebook,notes NAVALE,vet nurse study",United States,2023-05-07,yes,no,no,VetHelpfulNotes,https://www.etsy.com/listing/1462510042/best-selling-vet-tech-notes-vet-med
Blind Date with a Dark Romance Book Curated ,21.24,6,155,23,2,433,12,"Books, Movies & Music,Books,Literature & Fiction",United States,2023-03-28,yes,no,no,Midnightgalacreation,https://www.etsy.com/listing/1448509273/blind-date-with-a-dark-romance-book
"Personalized Refillable Leather Notebook, A6 A5 Leather Notepad, Daily Notebook with Card Holder, Personalized Notebook for Women Men ",30.0,6,216,45,5,219,21,"Leather Notebook,Refillable Notebook,Daily Notebook,Leather Journal,Notebook For Women,Notebook For Men,Vintage Journal,Writing Journal,Recipe Book,Leather Scrapbook,Thank you gift,Engraved Book,Engraved Journal",United States,2023-04-26,yes,no,no,RealLeatherCreation,https://www.etsy.com/listing/1454987784/personalized-refillable-leather-notebook
"Flower Book Embosser Personalized |  From the Library of Stamp | Ex Libris Stamp | Rubber Stamp, Self Inking Stamp or Embosser ",26.23,6,89,18,1,1497,105,"Book Embosser,Custom Embosser,Library Embosser,Book Lover Gift,Decorative Books,Ex Libris,Stamp,Embosser Stamp,Custom Book Stamp,Stamps Custom,Library Stamp,Custom Stamp,Book Stamp",United States,2023-06-15,yes,no,no,MonsterStamps,https://www.etsy.com/listing/1503605527/flower-book-embosser-personalized-from
"Teacher Gifts, Teacher Appreciation Gift, Teacher Note Pad, Teacher Notebook, Teacher Personalized Gifts, Gift for Teacher ",8.05,6,913,198,2,393,7,"craftychicksdesigns1,personalized,gift for teacher,teacher gifts,note pad and pen,end of year,teacher gift ideas,preschool teacher,gifts,kindergarten teacher,for her,teacher team gifts,back to school",United States,2023-04-05,yes,no,no,CraftyChicksDesigns1,https://www.etsy.com/listing/1454506395/teacher-gifts-teacher-appreciation-gift
